"Key","Created","SP","Timespent","Title","Description"
"MDL-59510","2017/07/12 20:32:34","5.0","3290.0","""Keep OAuth 2 connections alive across users' sessions""","""Access tokens can be very short-lived: [https://tools.ietf.org/html/rfc6749#section-4.2.2] exemplarily specifies a lifetime of one hour, which is implemented accordingly in [ownCloud|https://github.com/owncloud/oauth2/blob/cf7030163e9bfff879e4d1d03301b573b1e109d1/lib/Controller/OAuthApiController.php#L192] and [Nextcloud|https://github.com/nextcloud/server/blob/13295c2d1ddf3e4daf491a6c41303dbd1dc40b68/apps/oauth2/lib/Controller/OauthApiController.php#L82.]     This results in situations in which users have to re-authorise Moodle after one hour is elapsed. I assume that this will be very annoying.    However, ownCloud authorisations transmit a refresh token that is used to obtain a new access token without manual interaction. The refresh token mechanism is already supported for (and used by) connected system accounts, and should be extended to connected user accounts accordingly.    Alternative solution: Increase the expiry period of access tokens in affected services, i.e. try to convince own- / Nextcloud to change this. However, this does not solve the general case. Also I think that short-lived access tokens are sensible, e.g. to prevent replay attacks."""
"MDL-59524","2017/07/13 16:34:02","1.0","245.0","""Remove strings deprecated in 3.4""","""Remove strings from language files under the heading """"Deprecated in Moodle 3.4"""" and the respective lines in deprecated.txt files    See also https://docs.moodle.org/dev/String_Deprecation    """
"MDL-59639","2017/07/27 20:35:43","1.0","231.0","""Browser back button should work as expected in the administration menu with Boost theme""","""A well known 'rule' of the web is not to compromise the functionality the browser's back button    Unfortunately, the admin pages do this.     To reproduce....   * From the flat menu, choose site administration   * Select (for example) Appearance tab and then theme settings   * The theme settings form appears.    * Press 'back'    You would expect to be back to the previous page - the Appearance tab. However, you are not. You are viewing the first tab of the administration menu. """
"MDL-60817","2017/11/15 23:23:08","1.0","910.0","""Notify the user when the original file extension has been removed or modified upon file editing in the filepicker""","""Quite commonly, users remove the document file extension when editing the filename in the filepicker, without being aware of that.    In some specific cases, for ex. students editing the name of an existing assignment submission file, if the extension is removed or modified it can cause failure in the document conversion in the assignment.    Improving the UX in the filepicker, by notifying the users when the original file extension has been modified would greatly reduce these occurrences."""
"MDL-60827","2017/11/16 15:55:31","3.0","414.0","""OAuth 2 still expecting email verification after """"Require email verification"""" has been disabled""","""Some users when they try to login on moodle receive the fallowing massage """" This account is pending email confirmation. """" even if I have the setting Site administration -> Server -> Oauth 2 Services -> Require email verification ( Unchecked ). It seems that users don't find the confirmation mail ( probably ended up in spam and was delete ). Is it possible to resend the confirmation email ? or any other way to solve this problem ?    The authentication method is by using OAuth 2 Google service  """
"MDL-61649","2018/03/15 00:05:33","1.0","690.0","""Several core emails provide only text format""","""Some core emails (see list below) only provide the email_to_user function with a text format message rather than providing the (currently optional) HTML message as well.    This has two drawbacks:    1) Users who opt to receive HTML emails, will sometimes (with no obvious pattern) recieve text emails from their Moodle site which might make them wonder if their settings are correct and/or if these messages are really coming from their Moodle. Many of these messages are around authentication, so that confidence is probably important.    2) Sites that use the new email wrapping mustache templates core/html_email.mustache will have these text only emails automatically converted to HTML, which works fine for text only content, but anything with a link in it will no longer be clickable, just displayed as text.     $autohtml = trim(text_to_html($messagetext));    Possible areas to improve:    lib/authlib.php  781=function login_lock_account($user) \{  822:            email_to_user($user, $supportuser, $subject, $message);    lib/classes/task/send_failed_login_notifications_task.php  29=class send_failed_login_notifications_task extends scheduled_task \{  177:                email_to_user($admin, \core_user::get_noreply_user(), $subject, $body);    lib/moodlelib.php  6100=function setnew_password_and_mail($user, $fasthash = false) \{  6129:    return email_to_user($user, $supportuser, $subject, $message);  6139=function reset_password_and_mail($user) \{  6173:    return email_to_user($user, $supportuser, $subject, $message);  6232=function send_password_change_confirmation_email($user, $resetrecord) \{  6252:    return email_to_user($user, $supportuser, $subject, $message);  6262=function send_password_change_info($user) \{  6282:        return email_to_user($user, $supportuser, $subject, $message);  6303:    return email_to_user($user, $supportuser, $subject, $message);    user/edit.php  273:        if (!$mailresults = email_to_user($tempuser, $noreplyuser, $emailupdatetitle, $emailupdatemessage)) \{         Possibly it's worth considering making the HTML format non-optional."""
"MDL-62497","2018/05/18 11:41:27","1.0","9430.0","""Add a new transpilation tool for ES6""","""Need to look at a transpilation tool for ES6.  It would be _nice_ if it transpiled to and AMD module, and took precedent over the existing AMD modules if there is a name clash.  This way we can migrate existing AMD code to ES6 native, without breaking existing AMD modules using that code."""
"MDL-63032","2018/08/01 11:50:04","3.0","270.0","""CLONE - Update windows timezone list in core_date""","""   Update lib/classes/date.php badzones to the latest time zone information.    https://support.microsoft.com/en-us/help/973627/microsoft-time-zone-index-values should translate over to http://php.net/manual/en/timezones.php    Use the IANA timezone information database - https://www.iana.org/time-zones      Please create a clone of this issue for next version before closing this"""
"MDL-63048","2018/08/02 12:47:38","3.0","271.0","""CLONE - Remove old class renames""","""core_component looks for COMPONENT/db/renamedclasses.php files, it allows us to avoid traumatic transitions and BC breakages by listing classes that have been removed.    We need to clean the list at some point."""
"MDL-63261","2018/08/30 15:31:57","1.0","2875.0","""Final deprecation of web services in message/externallib.php""","""A whole bunch were deprecated due to MDL-57272 and MDL-63676. Do a grep for 'MDL-63261' in the codebase to find out what can be removed."""
"MDL-63580","2018/10/08 11:51:33","3.0","865.0","""Deprecate dupe cron_run_single_task() function""","""Working on MDL-60514 we created a new class that does cron_run_single_task() never used again in the core."""
"MDL-63612","2018/10/10 17:37:35","3.0","245.0","""Course card pattern colours may be specified by an admin""","""In MDL-63337 the course colour hex values were move to the course_summary_exporter.php in course/classes/external    These colours should be configurable form a location like the themes or global theme settings."""
"MDL-64821","2019/02/11 02:06:19","1.0","5082.0","""Create new discussion view for forum""","""Create a new discussion view mode that matches the prototype.    Prototype:  https://projects.invisionapp.com/share/2ATP7L7JYXP#/screens/381579783  (previously https://projects.invisionapp.com/share/9GQ8R2O3H7J#/screens/350489133)    h4. Beyond scope of this issue:  * Discussion header content (e.g. subscribed button, settings, view selector, move discussion selector etc) can all remain as is for now  * Badges images being moved into a modal. For this issue they can just be rendered under the user image as they are in the other views  * Emoji reactions  * The top header part of the prototype with filters, grading, settings etc    h4. Acceptance criteria  * UI should match the prototype as closely as possible  * All content for posts should be included when enabled, e.g. attachments, word counts, ratings etc  * Accessibility should not be made worse, i.e. keyboard navigation, contrast ratios, screen reader labels etc"""
"MDL-65016","2019/03/08 10:02:46","1.0","210.0","""Many emails are sent if refreshing the OAuth2 token of a system account fails""","""In the context of OAuth2, if the token of a system account cannot be refreshed for some reason, all( ! ) administrators get an hourly( ! ) notification about this problem.    There may be several reasons that can lead to this, including a) the refresh token has expired for some reason, b) authorisation has been revoked in the target system, c) the target system is not reachable (e.g., in maintenance). In either case, it is necessary to look into this. However, not every admin has to do this; in our case, most of them don't even know what this means...    (By the way, the """"hourly"""" part is fine. It's just that not everyone needs to be informed. The main administrator should be sufficient. For example, our main administrator's emails are managed by an issue tracker, which we use to assign tickets to the intended person. Others may use the main admin's email to forward the notification accordingly.)    Expected behaviour:  Only the main administrator gets emails informing about the failure."""
"MDL-65151","2019/03/22 02:37:42","1.0","220.0","""Final deprecation of section_edit_controls() in course/format/renderer.php""","""section_edit_controls() in course/format/renderer.php was deprecated in 3.0 (MDL-48947). It should be removed now.     """
"MDL-65205","2019/03/28 10:23:42","3.0","469.0","""Messaging interface assumes secondary color is light shade""","""The messaging interface in Boost uses bg-secondary behind some text but assumes that it's a pale shade, since it puts hardcoded gray and dark gray text on top of it.    The text colors should use color-yiq functions to ensure they are readable if the secondary color is set to something else."""
"MDL-65219","2019/03/29 12:37:09","3.0","870.0","""Broken link in messages contact request notification""","""Hi,    We notice a very small problem in contact request notification   * User A send a contact request to user B   * User B click on notifications icon , then on the link """"View full notification""""   * At the bottom of the page, the link """"Go to"""" is broken (file not found)    message/classes/api.php :   line 2511 : $url = new \moodle_url('/message/pendingcontactrequests.php');    but file ../message/pendingcontactrequests.php don't exist    I saw in MDL-63310 :  """"Don't forget to remove the stub page message/pendingcontactrequests.php""""    Thanks a lot"""
"MDL-65221","2019/03/29 13:42:06","1.0","450.0","""Add behat test for new UI to manage messaging notification preferences""","""Feature  In order to be notified of messages  As a user  I need to be able to update my messaging notification preferences    Scenario    Update notification preferences: Email"""
"MDL-65724","2019/05/27 10:17:41","3.0","621.0","""Import: Disabled general restore default values override import settings""","""Hi there,    due to a support issue from one of our clients, we've encountered this issue.     *Problem*  Within the import dialogue you can decide for some aspects like activities, groups or blocks etc. to be included in the import or not. Unfortunately, even if a user enables, for example, the group and groupings option, the groups and groupings will not be included in the restore controller if the default restore setting _restore | restore\_general\_groups_ is disabled.    *Steps to reproduce*  We use the option for groups and groupings exemplarily. The behavior is identical for all import options.  # Login as admin  # Set the value *restore | restore_general_groups* to *No*  # Create three Courses: """"Course 1"""", """"Course 2"""" and """"Course 3"""" and enrol a teacher to those courses  # Login as this teacher  # Go to """"Course 1""""  # Autocreate groups """"Group 1"""" - """"Group 5"""" and don't allocate any students to these groups  # Make sure you have those Groups in your Course  # Go to """"Course 2""""  # Select the import from """"Course 1""""  # Verify that the option _Include groups and groupings_ is checked  # Perform the import and press _Continue_  # Go to your group page and verify that there are no Groups in """"Course 2"""" and so no import of the groups was performed  # To counter check, login as admin again and set the value *restore | restore_general_groups* to *Yes*  # Login as the teacher and go to """"Course 3""""  # Repeat the steps 9 - 11  #  Go to your group page and verify that the 5 groups from """"Course 1"""" are imported    *Possible cause*  The import function doesn't has any interactive UI to control the options for the restore process. In fact, they are not needed as the user declared his wish within the import UI. So Moodle should only use the created backup file and restore this independent from any default values. However, within the restore_controller.class the defaults will be applied: https://github.com/moodle/moodle/blob/master/backup/controller/restore_controller.class.php#L146    We think this is the same problem as it was reported and fixed with the recycle bin (MDL-63263, MDL-65218) and it's a regression from introducing the general restore default values (MDL-34859).    *Intended behavior*  First of all, Moodle should present all the settings that are selectable on the general restore default value page. Currently only a small subset is presented on the UI for the import. Then a backup should be created and without any changes due to default settings this backup file should be restored to the new course.    Best, Kathrin"""
"MDL-65741","2019/05/29 03:09:12","3.0","370.0","""Replace PHPExcel with PHPSpreadsheet""","""https://github.com/PHPOffice/PhpSpreadsheet"""
"MDL-65743","2019/05/29 03:13:56","1.0","539.0","""Upgrade XMPPHP to latest version""","""h1. Options    h2. Upgrade    XMPPHP /lib/jabber/ 0.1rc2-r77 2.2 No https://github.com/BirknerAlex/XMPPHP    Has been forked and moved. This is the most up-to-date fork I could find but whomever picks up this issue should confirm this.    h2. Remove  Consider removing XMPPHP and the {{message_output_jabber}} plugin from core."""
"MDL-65835","2019/06/04 01:47:16","5.0","405.0","""deprecate plagiarism_get_form_elements()""","""we should deprecate plagiarism_get_form_elements() and recommend the use of the coursemodule callbacks (added in 3.1)    The """"replacement"""" function would be to use plagiarism_get_form_elements - but by using callbacks plugin devs can also hook into the validation/edit_post_actions functions as well which wasn't possible using plagiarism_get_form_elements"""
"MDL-65869","2019/06/07 14:33:43","1.0","75.0","""Remove the @app tests from core""","""In order to add more @app tests for the core feature in a consistent way, it has been decided to have all them placed in a local plugin for app tests which just has app tests: [https://github.com/moodlehq/moodle-local_moodlemobileapp/]    Although a few core feature behat @app tests were included in MDL-63977 (i.e. forum) to check the framework works, there was never any intent to provide behat tests for app functionality for core.    The reason behind that decision is that the core functionality provided in the app (activities, course, navigation) is all native to the app; the 3rd party plugins are all written within the Moodle plugin and are just presented in the app. The forum one is a case in point. That test was written when the app was at 3.6.0 and it worked. It continued to work at 3.6.1 of the app and was also working last week after the release of Moodle 3.7.0. Since then the app has had a forum update which causes all existing forum behat to fail. That is not due to a failure in Forum, or the core Web Services, or the core Behat. It's due to a change in the App itself and the interactions that it presents. A contrib plugin has its own mobile code bundled with its own behat tests. Aside from major refactors of the mobile app, both the UI presentation, and the tests are fully under control of the developer. For core functionality, including core plugins like forum, the functionality in the app is provided natively by the app and not Moodle but we are adding tests for this functionality to Moodle. Whilst we can use the @app_upto3.6.1 it's still not going to help us in the long term because we have no way of identifying which tests are going to fail, up until they do fail, by which point we've already released.         So instead of fixing the issues raised with app-3.7 in MDL-65832, we are going to close it and remove completely the @app tests from core."""
"MDL-65896","2019/06/12 05:48:19","3.0","3338.0","""Add emojis to messaging""","""Add emoji support to messaging as is common in most standard messaging services."""
"MDL-65918","2019/06/13 19:06:39","1.0","242.0","""Error during first OAuth2 login for existing account (Call to undefined function auth_oauth2\profile_save_data())""","""When I set up an account with the """"oauth2"""" auth type (using a custom OAuth2 issuer, in this case), the first time the user logs in with OAuth2 she will receive the following error:    Exception - Call to undefined function auth_oauth2\profile_save_data()    Stack trace:   * line 354 of /auth/oauth2/classes/auth.php: Error thrown   * line 536 of /auth/oauth2/classes/auth.php: call to auth_oauth2\auth->update_user()   * line 49 of /auth/oauth2/login.php: call to auth_oauth2\auth->complete_login()         The problem seems to have been introduced in this commit from December 2018, when the call to `profile_save_data()` was added without also requiring `user/profile/lib.php`:  [https://github.com/moodle/moodle/commit/e2b812fc4028ebf40c4fbb1cdad293a825d84079#diff-53adc3a153341eaa9eb2d5e086e88519R354]         A fix that worked for me was to simply add       {code:java}  require_once($CFG->dirroot.'/user/profile/lib.php');   {code}  under the other require_once() statements at the top of *auth/oauth2/classes/auth.php*.          Unfortunately I don't anticipate having the time to go through the process of becoming a new contributor and submitting code for peer review anytime soon. I hope this is a good enough start to get this fixed in a future release."""
"MDL-65928","2019/06/14 09:56:58","2.0","463.0","""Create a toggle-all checkbox output component""","""h5. Who is this project for?  * For Moodle devs!; and   * Ultimately for Moodle users!    h5. What is the problem that you're trying to solve?  * [~dobedobedoh] created the awesome core/checkbox-toggleall AMD module. However, to be able to use it, you will have to do various stuff first (e.g. import the AMD module, manually edit the HTML/attributes of the elements to add the required data attributes, etc).  * It currently doesn't have support for toggling the state of action elements (e.g. buttons that perform actions on the selected items.   * It currently doesn't support toggling of nested checkbox elements (e.g. master checkbox toggles all checkboxes, while another master checkbox that toggles a subset of those checkboxes)    h5. Why does it need solving?  * It would help developers to easily use the checkbox_toggleall element!  * We'll be able to provide a more consistent method of selecting/deselecting items on a list.    h5. How does your project tackle the problem?  * The patch for this issue provides an easier way for developers to output a toggle-all checkbox that can control a group of checkboxes on a list. Developers will simply have to implement the following:  *# Define master checkbox(es) - responsible for toggling the checkboxes in the list.  *# Define slave checkboxes  *# (Optional) Assign appropriate data attributes to action elements. Action elements are those who perform actions on the selected items.  * The improvements on the core/checkbox-toggleall will also  ** enable support for toggling the state (enabled/disabled) of  action elements. This will help us clean up the custom JS code for enabling/disabling the action elements scattered all throughout moodle.  ** allow master checkboxes to belong to multiple toggle groups. In other words, this means that master checkboxes can control one or more groups of checkboxes. This is particularly helpful for selecting multiple items belonging to different groups. """
"MDL-65937","2019/06/17 08:30:36","1.0","215.0","""Use the checkbox-toggleall component for the lesson activity""","""h5. Who is this for?  * Moodle users who can manage lesson activities (e.g. teachers, course managers, etc)    h5. What is the problem that you're trying to solve?  * The inconsistent way of checking items on a list throughout Moodle    h5. Why does it need solving?  * A consistent way of checking items on a list would provide a better user experience    h5. How does this issue tackle the problem?  * The patch for this issue will implement the usage of the checkbox-toggleall output component which aims to improve the UI and UX by:  **  having a master checkbox for toggling the checked states of the checkbox elements in the items list.  ** making the """"{{With selected}}"""" select box enabled only when there's at least one item selected."""
"MDL-65938","2019/06/17 10:16:36","1.0","360.0","""Use the checkbox-toggleall component for the quiz activity""","""h5. Who is this for?  * Moodle users who can manage quiz activities (e.g. teachers, course managers, etc)    h5. What is the problem that you're trying to solve?  * The inconsistent way of checking items on a list throughout Moodle    h5. Why does it need solving?  * A consistent way of checking items on a list would provide a better user experience    h5. How does this issue tackle the problem?  * The patch for this issue will implement the usage of the checkbox-toggleall output component which aims to improve the UI and UX by:  ** having a master checkbox for toggling the checked states of the checkbox elements in the quiz items list when editing a quiz.  ** making the action button """"{{Delete selected}}"""" button enabled only when there's at least one item selected.  ** having a master checkbox for toggling the checked states of the checkbox elements for the quiz attempts table.  ** making the action buttons """"{{Regrade selected attempts}}"""" and """"{{Delete selected attempts}}"""" enabled only when there's at least one item selected.  """
"MDL-65948","2019/06/18 05:59:52","1.0","505.0","""Use the checkbox-toggleall component for the gradebook setup page""","""h5. Who is this for?  * Moodle users who can manage the grade book (e.g. teachers, course managers, etc)    h5. What is the problem that you're trying to solve?  * The inconsistent way of checking items on a list throughout Moodle    h5. Why does it need solving?  * A consistent way of checking items on a list would provide a better user experience    h5. How does this issue tackle the problem?  * The patch for this issue will implement the usage of the checkbox-toggleall output component in the """"Gradebook setup"""" page. This aims to improve the UI and UX by replacing the """"{{All / None}}"""" links in the grade categories with master checkboxes for toggling the checked states of the grade items under the corresponding grade category.  """
"MDL-66034","2019/06/28 10:03:03","1.0","3270.0","""Log role changes in more detail ""","""The Danish Data Privacy Agency has due a privacy incident where a role misconfigured (which gave students access to too much data) expressed their criticism on Moodle.     Currently Moodle only logs the following on a role change:    !https://i.imgur.com/htRETGn.png!    The Privacy Agency har criticized that it is not logged what the actual change in the role was, hence making it impossible to detect when the misconfiguration occurred.     Furthermore this is logged in the normal moodle-log which automatically rolls over  - I think standard is 90 days or so.    We propose that role changes on system level are logged in the config-log and that the normal role-change is expanded.    Furthermore role-overrides needs to be logged in more detail as well.  """
"MDL-66078","2019/07/04 05:24:50","2.0","540.0","""Add WS and display to show all content for a user""","""Will be called by the user selector and paginator.    Will take:  # cmid  # userid  # groupid (optional)  # page (optional)    Possibly other options in the future."""
"MDL-66079","2019/07/04 06:43:45","2.0","3060.0","""Add configuration to show grading options in the Forum settings""","""Given I add a new forum  And I press """"Edit settings""""  Then I should be able to apply a rubric    I believe we need to:  # define the FEATURE  # define a grading function """"{{forum_grading_areas_list}}""""    There may be other things to do also.    I think that we may want to consider having _multiple_ grading items.  The gradebook supports having multiple grades for a single activity. We may want to consider having items for:  * forum (grade for all posts in a forum)  * discussion (aggregate of all graded discussions)  * post (aggregate of all graded posts)  * ratings    I suspect we'll need to look at forum, and ratings initially and we may no need to do anything initially, but have to consider it now for a later point."""
"MDL-66110","2019/07/09 12:22:39","2.0","796.0","""Error reading from database after upgrade to 3.7.1 (MySQL 8.0.2)""","""When trying to upgrade from version 3.3 to 3.7.1, we get an error:    Default exception handler: Error reading from database Debug: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'groups g   ON mc.itemid = g.id   WHERE mc.compo' at line 3  SELECT mc.id   FROM message_conversations mc   LEFT JOIN groups g   ON mc.itemid = g.id   WHERE mc.component = ?   AND mc.itemtype = ?   AND g.id is NULL  [array (   0 => 'core_group',   1 => 'groups',  )]  Error code: dmlreadexception  * line 486 of \lib\dml\moodle_database.php: dml_read_exception thrown  * line 1245 of \lib\dml\mysqli_native_moodle_database.php: call to moodle_database->query_end()  * line 2743 of \lib\db\upgrade.php: call to mysqli_native_moodle_database->get_records_sql()  * line 1809 of \lib\upgradelib.php: call to xmldb_main_upgrade()  * line 518 of \admin\index.php: call to upgrade_core()         Probable reason in the keyword """"GROUPS"""" - from version MySQL 8.0.2 this word is reserved and forbidden by standard SQL as column or table names  ([https://dev.mysql.com/doc/refman/8.0/en/keywords.html])"""
"MDL-66143","2019/07/15 03:37:56","5.0","750.0","""As a teacher, I want to be able to create a course in relative dates mode, so that students can take the course any time""","""Add a new setting to the course to allow the teacher to choose between fixed dates or relative dates.    Acceptance criteria:  * An admin setting should be added to enable """"relative dates"""" as an experimental feature  * Relative date courses can not be created unless the experimental feature is enabled  * A course can not be changed between relative or fixed dates once it has been created  * A warning is visible when using the feature, telling them that they cant change the value once set (in the course edit form)    Edit: Decision was made such that the experimental feature toggle will only affect new courses. Existing courses remain in their respective mode.    This does not include backup and restore."""
"MDL-66144","2019/07/15 03:43:38","3.0","666.0","""As a student in a weeks-format course, I want to be able to see the weekly dates displayed relative to my start date, so that I can plan my coursework""","""When a relative dates course is set to the """"weekly"""" course format the dates for each section should be relative dates for the user.    Acceptance criteria:  * Dates should only be relative when the course is set to """"relative dates"""""""
"MDL-66147","2019/07/15 04:09:43","1.0","3121.0","""As a teacher, I want to be able to create an assignment activity with a 'due date' relative to the student course start date, so that the student can complete the full course""","""A teacher should be able to create an assignment activity with a relative due date. The due date should be relative to when the student begins the course.    Acceptance criteria:   * Due date is only relative when the activity is in a course set to relative dates   * Student sees a relative date on submission page   * Teacher sees the student's relative due date when grading   * Teacher sees the student's relative due date when viewing submissions   * Does not include handling overrides in this issue   * Does not include handling extensions in this issue   * Does not include showing calendar events for the student int his issue   * Does not include access restrictions based on date.   * Sort by due date/status in view all submissions table should be disabled   * Web services should be updated"""
"MDL-66150","2019/07/15 04:28:14","3.0","851.0","""Forum report: Discovery""","""Discovery and [specification document|https://docs.google.com/document/d/1JD2G3ZBewj4QkfhB70A7hOdHLgWca5TVNbNHaDtXktw/edit?usp=sharing] write-up for the forum summary reporting project.     """
"MDL-66153","2019/07/15 08:04:07","1.0","4338.0","""Forum report: Basic skeleton""","""Create a basic skeleton for the Forum report.   # Create new forum subplugin for forumreport   # Summary for single forum   # No Download required initially   # No filtering required initially   # Basic fields: Names, Reply counts, Created discussion count"""
"MDL-66264","2019/07/29 02:58:50","1.0","450.0","""Investigate integration with rocket chat""","""[Rocket chat|https://rocket.chat/] is an open source clone of Slack which offers a more fully featured chat experience than in-built Moodle messaging.    While it's important to keep a messaging solution that ships with Moodle it might also be worth looking at the possibility of an integration with Rocket.chat for institutions that require a more feature full messaging experience (i.e. Workplaces)."""
"MDL-66268","2019/07/29 08:14:50","2.0","6394.0","""Groups filter in forum summary report""","""Set up the filter area in the report interface, and add ability within that filter area to choose which group(s) within that forum are shown."""
"MDL-66298","2019/08/01 02:55:38","4.0","3437.0","""Forum summary report option to message selected users""","""See participants report for how we do this.  We need to add a new column to select users, and a way of messaging those users.    # As a teacher, to allow me to message a student who is not interacting regularly, I want to be able to message that student  # As a teacher, to allow me to message several students who are not interacting regularly, I want to be able to send a message to multiple users.  # When I send a message to multiple users, those users should only see the conversation between that one student and the teacher who initiated the conversation."""
"MDL-66301","2019/08/01 02:57:53","1.0","5348.0","""Add ability to summarise all forums in a specific course""","""The forum summary report only shows the current forum. We should extend this so it is able to provide a summary report of all forums in a specific course.    The scope of this issue is that (by default) teachers will be able to view the summary report for exactly one forum in a course (current functionality), or all forums in a course (that they have access to)."""
"MDL-66362","2019/08/11 07:15:05","2.0","435.0","""Add """"breadcrumb"""" to top corner of grading window""","""Add the breadcrumb region to the grading window to help identify which activity is being graded."""
"MDL-66364","2019/08/11 07:17:17","3.0","759.0","""Add parent post snippet""","""When grading a post which is a reply, show the first [n] characters of the previous post in order to give context to the discussion being graded."""
"MDL-66365","2019/08/11 07:18:17","3.0","510.0","""Add a button to display the entire discussion for a post being graded""","""Contextual information is important. We should provide a mechanism to view the entire discussion for the content being graded."""
"MDL-66369","2019/08/12 05:08:37","1.0","210.0","""Remove all instances of [modname]_scale_used""","""This should have been done in MDL-51883 for 3.6 but the deprecation was not fully done.    These functions were only used by the deprecated function which was deprecated in 3.1, and removed in 3.6. They should have been removed at the same time."""
"MDL-66371","2019/08/12 06:31:44","1.0","530.0","""Forum: add behat test covering forum export""","""Add appropriate behat + unit tests."""
"MDL-66372","2019/08/12 08:04:58","2.0","938.0","""Implement summary report pagination size""","""Implement results per page on the forum summary report, to control how many results are returned during pagination.    To start with, we should only accept 50 (default), 100, 200 as options, possibly fall back to the default  if another value is specified, since it is not worth failing the request just for an invalid pagination value.    Be aware that the summary report currently implements the null privacy provider, so unless you wish to set up the provider, in the first instance it is probably better to just keep the 50 default and not store a user preference for it."""
"MDL-66373","2019/08/12 08:06:26","6.0","5022.0","""Dates filter in forum summary report""","""Date filters for start/end   2 x story points"""
