"Key","Created","SP","Timespent","Title","Description"
"DM-3777","2015/09/08 17:11:39","12.0","6.0","""server side preparation for  histogram plot (2)""","""1. On the initialization, server needs to return the following summary table for all numeric columns:       a. column name / description / unit      b. min and max values      c. number of points    2. For a given column and binning options, return the table of bins:     a. first column - numInBin - number of points in a bin     b. second column - binMin - bin's lower bound     c. third column - binMax - bin's upper bound     [10-13-15] Added by LZ  Here is the detailed requirement from Tatiana:  The implementation of this ticket are two search processors (similar to IpacTableFromSource search processor). Both search processors should be located in edu.caltech.ipac.firefly.server.query package and produce an IPAC Table.     1.  Getting table statistics    INPUT:  The input to the first search processor should be TableServerRequest (treq) with """"searchRequest"""" parameter set. The searchRequest parameter will be a serialized JSON string, which can represent a search request to any other search processor. This  parameter determines how the input IPAC table is  obtained. (The input IPAC table is produced similarly to how IpacTableFromSource produces the result with """"processor"""" parameter set.)    To parse SearchRequest parameter into key-value pairs - the parameters for the search request - you can use json.simple library:    JSONObject searchRequestJSON = (JSONObject)JSONValue.parse(treq.get(""""searchRequest""""));  if (searchRequestJSON != null) {      for (Object param : searchRequestJSON.keySet()) {          String name = (String)param;          String value = (String)searchRequestJSON.get(param);          }     }  One of the parameters should be the """"id"""" (ServerReuqest.ID_KEY) - which tells which search processor to use to obtain input IPAC table.    OUTPUT:  The output IPAC table produced by the first search processor should contain 5 columns: columnName, description, unit (unit or empty string), min, max, numPoints (the number of non-null values).    2.  Getting histogram data    INPUT:  The input to the second processor should be TableServerRequest (treq) with """"searchRequest"""" parameter set (exactly the same as """"searchRequest"""" parameter in item 1) plus binningOptions. The binningOptions parameter will be serialized JSON object with the following keys (object properties):  {  """"algorithm"""" : """"fixedSizeBins"""",          """"binSize"""" : 20,          """"column"""" : """"wavelength"""",          """"scale"""" : """"linear"""",          """"min"""" : 0,          """"max"""" :100  }    Notes:   -the algorithm is simple fixed size binning for now, in future we'll need to add variable size bins algorithm described here: http://www.astroml.org/examples/algorithms/plot_bayesian_blocks.html  - at the beginning, you can assume that column is column name, but it can be an expression based on several columns.   - scale can be """"linear"""" or """"log""""  - min and max define filter on the points included into histogram calculation, any of them or both can be absent. If both are absent, no filter needs to be applied.    OUTPUT:  The output IPAC table produced by the second search processor should contain 3 columns:  numInBin, binMin, binMax in that order. The table should be sorted by binMin. The binMax of row i should be always less or equal to binMin of row i+1. If number of points in the bin is 0, it's OK to skip this bin.    """
"DM-4313","2015/11/11 12:19:33","3.5","600.0","""Configure sshd with pam_krb5 and document""","""Configure sshd in our test IAM VM to use pam_krb5 so the user gets a Kerberos ticket when logging in as discussed in our design doc. Document the configuration steps."""
"DM-4315","2015/11/11 12:27:43","2.0","750.0","""Set up test IAM MariaDB instance with Kerberos""","""Install MariaDB in our test IAM VM at NCSA and configure it for Kerberos password authentication. I understand that Kerberos ticket authentication is not yet supported by MariaDB. Document the process and include references to the ongoing work to add Kerberos ticket support.    Create example tables that demonstrate access control for different logged in users."""
"DM-4317","2015/11/11 12:42:40","4.0","360.0","""Configure httpd with SSL and mod_krb5 in IAM test VM""","""Get SSL certificate and configure httpd for mod_auth_krb5 authentication in IAM test VM. Document the setup."""
"DM-4442","2015/11/30 03:09:57","1.25","300.0","""IAM process for granting data access rights""","""Document a process for granting of data access rights to LSST users according to the Data Access White Paper ([Doc-53733|http://ls.st/Document-5373]).    On the wiki: https://confluence.lsstcorp.org/display/LAAIM/Granting+Data+Access+Rights"""
"DM-4671","2015/12/15 15:29:27","5.5","600.0","""configure WebDAV with Kerberos/LDAP on lsst-auth1""","""Configure WebDAV for Kerberos authentication and LDAP authorization. Create example subdirectories where LDAP groups determine access (using .htaccess files):  * lsst: anyone in lsst group can read/write to this directory  * ncsa: anyone in all_ncsa_employe can write, anyone in lsst can read"""
"DM-5166","2016/02/17 13:31:10","6.0","240.0","""Analyze catalog-comparison CmdLineTasks""","""Analyze the QA CmdLineTask collection being generated by [~lauren] sufficiently well to determine the interface requirements needed to represent them as Supertasks.    Does not include actually designing that interface."""
"DM-6933","2016/07/12 17:19:40","4.0","300.0","""Create access policy for PDAC""","""This is a Prototype DAC (PDAC) and the access to it is limited. We need to draft a access policy. """
"DM-9336","2017/02/08 13:23:41","2.0","240.0","""Complete LCR-836 (typographic correction to LSE-69)""","""LCR-836 (already created) is for a long-pending typographic correction to LSE-69 to get it to match LSE-130's section headings.    The work on this ticket is to prepare the new docgen and submit it to the CCB. """
"DM-11059","2017/06/27 15:13:41","3.0","60.0",""" Gather schemas""","""Gather schemas for all databases within the consolidated database"""
"DM-11081","2017/06/28 13:44:26","5.0","60.0","""Refine lsst-db refresh plan""","""Refine initial lsst-db plans based on review of initial plan. Work with vendors to get necessary quotes."""
"DM-13225","2018/01/12 13:20:59","2.0","540.0","""Edit SuperTask requirements for order-independence""","""MagicDraw enforces alphabetic order for requirements (within a package).  This makes it impossible to define the order of the requirements as they appear.    The existing SuperTask requirements in LDM-556 were written without realizing this and contain references to previous requirements as """"above"""".    It is desirable for requirements to be meaningful in isolation in any event, so this task is to clean up the language and avoid positional references."""
"DM-13838","2018/03/19 08:07:35","4.0","930.0","""Submit LSP Design document LDM-542 to DM-CCB for approval""","""Apply final polish and submit."""
"DM-13864","2018/03/21 11:00:13","2.0","540.0","""Submit LSP Test Specification document LDM-540 to DM-CCB for approval""","""Apply final polish and submit."""
"DM-19543","2019/04/29 22:47:00","2.0","360.0","""Evaluate LSP review committee's recommendations and map to LIT tickets""","""Review the recommendations in the LSP review report, flatten the structure so that 1 item can be mapped to 1 LIT ticket.      """
"DM-19545","2019/04/29 22:50:54","6.0","240.0","""Propose responses to LSP review charge questions""","""In conjunction with the LSP meta-CAM, devise responses to the LSP review recommendations to see if there are additional important points or areas of concern that should be captured as LIT tickets or raised to senior management and the LSP team. """
"DM-19849","2019/05/22 21:46:06","1.0","600.0","""Make ATSpectrograph configurable""","""This task also includes adding the INSTPORT keyword as well as the WCS keywords that are specific to the instrument (pixel/plate scale)."""
"DM-21034","2019/08/21 05:34:13","1.0","600.0","""Update Environment CSC to salobj 4 and make is a Configurable CSC""","""Environment CSC (e.g. Weather Station) need to be upgraded to a Configurable CSC and to salobj 4. """
"DM-21489","2019/10/02 00:58:23","4.0","3360.0","""white light + chiller lab testing ""","""begin lab testing with chiller and white light source, plus address issues we discover"""
"DM-21694","2019/10/08 17:45:07","8.0","240.0","""Write an MT rotator CSC in Python""","""Write an MT rotator CSC in Python, including a basic simulation mode.    Note that the simulator is the hard part. I plan to start with a very elementary model (no slewing) in this ticket, then refine it in another ticket."""
"DM-21732","2019/10/11 16:41:13","3.0","960.0","""Test the Updated Middleware with Bare Rotator""","""Test the software with the bare rotator in SLAC. The followings are my plan there:    1. To be familiar with the rotator behavior by some simple SAL commands by the original SAL version 3.5.1.    2. Install the SAL 3.10.0 and update middleware code in the mangement PC. In this step, I will need to stop the running middleware (in SAL 3.5.1) and backup the data in """"/nfsdemo"""" directory.    3. Test the rotator hardware behavior by SAL 3.10.0 and do the record. If there is any document of rotator behavior recorded already in SLAC, I will be happy to read. I also want to talk to the users of rotator to see there is any bug found or not. This should be recorded and fixed in the following update.    4. Discuss with the developer of CCS to see how the CCS works with the rotator. Since I might be one of the client of CCS (I am responsible of the active optics), I do want to know how the CCS works."""
"DM-21741","2019/10/12 01:30:08","1.0","720.0","""Improvements on attcs class""","""Implement some improvements to ATTCS class with lessons learned on recent Auxiliary Telescope on-sky activities. """
"DM-21742","2019/10/12 01:31:37","2.0","960.0","""Write Auxiliary Telescope operations documentation.""","""Write initial version of Auxiliary Telescope operations manual. """
"DM-21743","2019/10/12 02:18:26","1.0","480.0","""Deploy watcher on Tucson test stand and in the summit""","""Deploy Watcher on the Tucson test stand and on the summit this task involves:          1 - writing configuration for the watcher on the lab     2 - updating watcher configuration for the summit with all required rules     3 - build container for the watcher     4 - make compose file to deploy watcher on both locations     5 - Update compose file for salkafka producer to add watcher on the list of CSCs               """
"DM-21756","2019/10/14 20:31:17","2.0","960.0","""Revamp Electrometer CSC to use salobj 4""","""Revamp the Electrometer CSC to use salobj 4. CSC needs a rewrite to comply with TSSW python standards."""
"DM-21780","2019/10/15 00:25:10","1.0","240.0","""Make a few simple scripts that exercise the MT Rotator and Hexapod""","""Make a few simple command-line scripts that exercise the MT Rotator by talking to the Rotator CSC. This is intended to help [~ttsai] shake out the MT Rotator at SLAC, especially my new Python CSC."""
"DM-21796","2019/10/15 22:18:47","1.0","480.0","""Support testing the rotator at SLAC""","""This ticket is intended to capture my effort supporting Te-Wei's testing of the rotator at SLAC."""
"DM-21812","2019/10/17 11:37:42","2.0","960.0","""Shadow Rob for M1M3 testing""","""Learn to be Robs replacement for M1M3 as he leaves before it will be complete."""
"DM-22016","2019/10/29 22:04:41","1.0","960.0","""Deploy xml 4.4 on Tucson Test Stand. ""","""Ticket to track work for deployment on Tucson Test Stand. """
"DM-22254","2019/11/18 19:25:38","2.0","540.0","""File LCR to address LIT-292, removal of """"LSSTC Board"""" language in LSR and OSS; flowdown to DMSR""","""Refer to LIT-292 for the substance."""
"DM-23058","2020/01/14 14:00:19","2.0","960.0","""HVAC XML to MQTT""","""Create XML SAL bindings for the MQTT telemetry subset."""
"DM-23155","2020/01/22 20:25:44","1.0","480.0","""Add XML tests to verify a topic does not contain special characters""","""The XML topic and attribute names should only contain letters, underscores and maybe numbers.  Create a test to validate this is true."""
"DM-23182","2020/01/24 16:42:21","2.0","960.0","""Add basic IDL Type test""","""Currently there is no test to verify that the IDL Type is present, nor if it contains a valid value if it is."""
"DM-23246","2020/01/30 18:22:07","3.0","480.0","""Provide basic English Description based on Spanish MQTT Topic names""","""The MQTT topic names are all in Spanish which may be confusing for non-Spanish speaking people. It was decided to keep the Spanish topic names since mechanics generally are Chilean so it will be easier for them to identify the hardware components when they are referred to in Spanish. In addition English Descriptions will be added for those who don't understand Spanish well enough. The Descriptions will be direct translations of the Spanish words into English without an attempt to form proper sentences."""
"DM-23533","2020/02/17 13:56:55","1.0","480.0","""Create XML files with proposed command protocol""","""For the commanding from the upper level DCS to the lower level components a proposal needs to be made for both the communications and the command protocols. The basis for the commands will be XML files that will be used by both the Rubin Observastory and EIE. This story is for collecting the necessary commands and creating an XML file to share between both parties."""
"DM-23842","2020/03/11 16:17:29","2.0","960.0","""Add additional SALOBJ functions to the Dome CSC""","""Now that SALOBJ has been added to the project, it is time to implement the azimuth motion control commands."""
"DM-23844","2020/03/11 17:35:30","1.0","240.0","""Make sure that the reply to the STATUS command is in line with the proposed communications protocol""","""The current implementation of the mock controller doesn't exactly follow the proposed communications protocol. Fix please."""
"DM-23933","2020/03/19 18:05:49","3.0","960.0","""Produce and consume communication strings with YAML""","""We are still reviewing the use of YAML in stead of using plain semi-colon separated strings for the communication between the upper and lower level components but I am going ahead and will start implementing YAML already since this is the way we will go.    EDIT: YAML has been accepted as the preferred communications protocol."""
"DM-23954","2020/03/20 15:12:44","5.0","960.0","""Error handling while initializing M1M3 support""","""There isn't any error handling. The process in best cause core dump when some configuration file is missing, in worst case my understanding is it might end up with wrong configuration. This needs to be fixed."""
"DM-23993","2020/03/24 18:11:27","1.0","60.0","""Correct sending of OK reply in mock_controller""","""The OK reply sent from the mock_controller lacks a space right before the Timeout keyword."""
"DM-23997","2020/03/24 18:42:58","1.0","60.0","""Consolidate assertComponent and assertOK functions into one assertReply function""","""Since the structure of each reply received from the mock controller is similar, it is possible to have one assert method for each kind of reply instead of dedicated ones."""
"DM-24038","2020/03/27 16:55:52","2.0","240.0","""Read DIMM documentation""","""Received the latest DIMM documents and will read them."""
"DM-24039","2020/03/27 17:00:19","1.0","480.0","""Inspect current situation regarding M2 hexapod thermal sensors""","""Get familiarized with the M2 hexapod thermal sensors hardware."""
"DM-24040","2020/03/27 17:11:30","2.0","960.0","""Start implementing M2 hexapod thermal sensors CSC""","""Start implemeting the CSC that publishes the telemetry into the EFD."""
"DM-24041","2020/03/27 17:15:19","2.0","960.0","""Implement commanding the lower level components""","""Make sure that the upper level DCS can command the lower level components."""
"DM-24042","2020/03/27 17:19:12","2.0","480.0","""Implement connect and disconnect functions in DCS""","""Make sure that the DCS can connect to and disconnect from the lower level components. Use the mock controller at first and make sure that it later can switch to the real CRIO."""
"DM-24387","2020/04/08 18:20:09","1.0","480.0","""Refactor duplicate code and add a task scheduler""","""There is some duplicate code in particularly the test code. Review and refactor. Also a task scheduler is needed to poll the status command on a regular basis. Add it."""
"DM-24406","2020/04/09 05:36:05","3.0","4020.0","""M1M3 hardware simulator""","""Run M1M3 cRIO with ICL hardware simulator."""
"DM-24468","2020/04/14 15:46:09","3.0","960.0","""Poll lower level status and send telemetry""","""Introduce a polling mechanism for the lower level statuses and emit telemetry."""
"DM-24469","2020/04/14 15:49:11","1.0","240.0","""Review Dome Software Timeline""","""Review the Dome Software Timeline and bring it in line with the current status and the expected the development progress."""
"DM-24520","2020/04/20 17:20:00","1.0","480.0","""LTS-646 review""","""Review and update LTS-646 (there is at least misleading reference to Modbus-ida.org)."""
"DM-24572","2020/04/23 17:33:18","2.0","960.0","""Install raspberry pi disk image for cloud sensor""","""Garry Knight has prepared a raspberry pi disk image which needs to be installed."""
"DM-24574","2020/04/23 17:46:28","3.0","2400.0","""Add all commands to DCS""","""Make sure that the DCS can accept all commands and that the mock controller returns sensible replies."""
"DM-24610","2020/04/27 18:41:41","3.0","2520.0","""Assign the OFC state0 in ts_MTAOS by Configuration File ""","""Assign the OFC (Optical Feedback Control) state0 in ts_MTAOS by configuration file. The *ConfigurableCsc* class in ts_salobj is the basic CSC (Commendable SAL Component) class for the subsystem such as *MtaosCsc* in ts_MTAOS to use. The configuration file is located at MTAOS directory of ts_config_mttcs. The following document explains the details of this: [TSTN-017|https://tstn-017.lsst.io/]. When writing the configuration file, a schema is needed to verify the configuration file based on: [Write a CSC|https://ts-salobj.lsst.io/salobj_cscs.html#writing-a-csc].    OFC is the component that calculates the correction of mirror bending mode and hexapod position. The control algorithm in use can follow [Real time wavefront control system for the Large Synoptic Survey Telescope (LSST)|https://drive.google.com/file/d/1RyMQWeXWRZLtxM8KkSwtB3STzMM9fCvX/view?usp=sharing] and [Control Algorithm in Optical Feedback Control|https://confluence.lsstcorp.org/display/LTS/Control+Algorithm+in+Optical+Feedback+Control]. The state0 (*s*~*0*~ in the [Control Algorithm in Optical Feedback Control|https://confluence.lsstcorp.org/display/LTS/Control+Algorithm+in+Optical+Feedback+Control]) is an intentional parameter used in *x00* reference, which is explained in the above links.    The AOS software contains the simulation code and control code. For the simulation, the user needs to use the repos: ts_wep, ts_ofc, and ts_phosim. For the control code, the user needs to use the repos: ts_wep, ts_ofc, and ts_MTAOS. The ts_phosim is not needed in the control and the ts_MTAOS is not needed in the simulation. In this task, we focus on the control code.    The followings are the steps in this task:   # Update the [default.yaml|https://github.com/lsst-ts/ts_config_mttcs/blob/develop/MTAOS/v1/default.yaml] in ts_config_mttcs to contain the state0 information as the following: [state0inDof.yaml|https://github.com/lsst-ts/ts_ofc/blob/master/policy/comcam/state0inDof.yaml]. I prefer to have two yaml files (default.yaml + state0inDof.yaml) instead of one (default.yaml) in ts_config_mttcs. However, we need to check ts_salobj can support this or not.   # Provide the related schema: [MTAOS.yaml|https://github.com/lsst-ts/ts_MTAOS/blob/master/schema/MTAOS.yaml] in ts_MTAOS/schema directory. Prefer to have two files instead of one. But this depends on the implementation of ts_salobj.   # Update *MtaosCsc* class in ts_MTAOS to read the configuration of state0. *MtaosCsc.configure()* will read the configuration file from SAL. *ConfigByObj* and *ConfigByFile* classes inherit from *ConfigDefault* to read the data. We need to update the related test cases to make sure the *MtaosCsc* can change the state0 by SAL or file.   # Override the default state0 when *OFCCalculation* is instantiated by *OFCCalculationFactory.getCalculator()* in *Model.ofc*. The state0 is stored in the internal data of *Model.ofc.ztaac.optCtrl*. The developer can do *OFCCalculation.getZtaac()* to get the *ztaac* attribute. After this, the developer can use *ZTAAC.setState0()* to set the state0 values. The related *get()* functions are provided for the test. By default, the state0 is set by *OFCCalculation()* --> *OFCCalculation._configZTAAC()* --> *ZTAAC.setState0FromFile()*. It is noted that we will keep the default state0 file in ts_ofc for the simulation (the AOS simulation does not know the ts_MTAOS. The UW team is using the AOS simulation to help the algorithm development)   # Update the test cases and [versionHistory.rst|https://github.com/lsst-ts/ts_MTAOS/blob/master/doc/versionHistory.rst] to reflect the change."""
"DM-24770","2020/05/07 07:04:24","3.0","660.0","""Issues found in M1M3 component""","""While testing the M1M3 component at NCSA I noticed a couple things that needs fixing. These are mostly related to the SAL component behavior so, as far as I understand, it should apply to the component as a whole and not only the simulator.          1 - Component crashes if it doesn't find configuration file during start command.       Expected behavior: If I send a start command a {{settingsToApply}} that is not valid the CSC should reject the command with ack = {{CMD_FAILED: -302}} and stay in STANDBY.      Current behavior: component core dumps.   {code:java}  m1m3                  | [2020-05-06 20:20:57.811] [loggername] [info] DigitalInputOutput: turnCellLightsOn()  m1m3                  | [2020-05-06 20:20:57.812] [loggername] [info] DigitalInputOutput: turnAirOn()  m1m3                  | [2020-05-06 21:04:15.490] [loggername] [info] StandbyState: start()  m1m3                  | [2020-05-06 21:04:15.490] [loggername] [info] Model: loadSettings(foo)  m1m3                  | [2020-05-06 21:04:15.490] [loggername] [info] Model: Loading ILC application settings  m1m3                  | [2020-05-06 21:04:15.491] [loggername] [info] Model: Loading force actuator application settings  m1m3                  | [2020-05-06 21:04:15.493] [loggername] [info] Model: Loading force actuator settings  m1m3                  | terminate called after throwing an instance of 'std::runtime_error'  m1m3                  |   what():  Cannot load /home/saluser/ts_m1m3support/SettingFiles/Sets///ForceActuatorSettings.xml: File was not found  m1m3                  | /home/saluser/.setup.sh: line 5:     9 Aborted                 (core dumped) /home/saluser/ts_m1m3support/ts_M1M3Support -c /home/saluser/ts_m1m3support/SettingFiles  {code}            2 - Component is not doing state transitions appropriately. The only transition that the CSC is performing is going from STANDBY to DISABLE. After that it is not possible to take to any other state, not even back to STANBY. Also, it is acknowledging the commands as complete but are not executing them.     I am attaching a script that will reproduce the problem. This is an example output:  {code:java}  Initial state is <State.STANDBY: 5> expected <State.STANDBY: 5>  got 303 expected 303  Next state is <State.DISABLED: 1> expected <State.DISABLED: 1>  got 303 expected 303  Timed out waiting for summary state. Expected <State.ENABLED: 2>  got 303 expected 303  Timed out waiting for summary state. Expected <State.DISABLED: 1>  got 303 expected 303  Timed out waiting for summary state. Expected <State.STANDBY: 5>{code}  3 - Component not rejecting commands when in STANDBY or DISABLED.    When sending commands for the CSC in standby it should reject the commands with ack=<SalRetCode.CMD_FAILED: -302>, instead it is accepting the commands with 303.     I'm attaching a script that will reproduce the problem. This is an example output.   {code:java}  Create domain  Create remote for M1M3  Initial state is <State.STANDBY: 5> expected <State.STANDBY: 5>  Testing command abort...  got msg='Timed out waiting for command acknowledgement', ackcmd=(ackcmd private_seqNum=26072628, ack=<SalRetCode.CMD_NOACK: -301>, error=0, result='No command acknowledgement seen')  Testing command abortProfile...  got 303 expected -302  Testing command abortRaiseM1M3...  got 303 expected -302  Testing command applyAberrationForces...  got 303 expected -302  Testing command applyAberrationForcesByBendingModes...  got 303 expected -302  Testing command applyActiveOpticForces...  got 303 expected -302  Testing command applyActiveOpticForcesByBendingModes...  got 303 expected -302  Testing command applyOffsetForces...  got 303 expected -302  Testing command applyOffsetForcesByMirrorForce...  got 303 expected -302  Testing command clearAberrationForces...  got 303 expected -302  Testing command clearActiveOpticForces...  got 303 expected -302  Testing command clearOffsetForces...  got 303 expected -302  Testing command disable...  got 303 expected -302  Testing command disableHardpointChase...  got 303 expected -302  Testing command disableHardpointCorrections...  got 303 expected -302  Testing command enable...  got 303 expected -302  Testing command enableHardpointChase...  got 303 expected -302  Testing command enableHardpointCorrections...  got 303 expected -302  Testing command enterControl...  got msg='Timed out waiting for command acknowledgement', ackcmd=(ackcmd private_seqNum=809273431, ack=<SalRetCode.CMD_NOACK: -301>, error=0, result='No command acknowledgement seen')  Testing command enterEngineering...  got 303 expected -302  Testing command exitControl...  got msg='Timed out waiting for command acknowledgement', ackcmd=(ackcmd private_seqNum=937073474, ack=<SalRetCode.CMD_NOACK: -301>, error=0, result='No command acknowledgement seen')  Testing command exitEngineering...  got 303 expected -302  Testing command lowerM1M3...  got 303 expected -302  Testing command modbusTransmit...  got 303 expected -302  Testing command moveHardpointActuators...  got 303 expected -302  Testing command positionM1M3...  got 303 expected -302  Testing command programILC...  got 303 expected -302  Testing command raiseM1M3...  got 303 expected -302  Testing command resetPID...  got 303 expected -302  Testing command runMirrorForceProfile...  got 303 expected -302  Testing command setLogLevel...  got msg='Timed out waiting for command acknowledgement', ackcmd=(ackcmd private_seqNum=1366699677, ack=<SalRetCode.CMD_NOACK: -301>, error=0, result='No command acknowledgement seen')  Testing command setThermalSetpoint...  got msg='Timed out waiting for command acknowledgement', ackcmd=(ackcmd private_seqNum=1410333065, ack=<SalRetCode.CMD_NOACK: -301>, error=0, result='No command acknowledgement seen')  Testing command setValue...  got msg='Timed out waiting for command acknowledgement', ackcmd=(ackcmd private_seqNum=1470788897, ack=<SalRetCode.CMD_NOACK: -301>, error=0, result='No command acknowledgement seen')  Testing command shutdown...  got 303 expected -302  Testing command standby...  got 303 expected -302  Testing command stopHardpointMotion...  got 303 expected -302  Testing command testAir...  got 303 expected -302  Testing command testForceActuator...  got 303 expected -302  Testing command testHardpoint...  got 303 expected -302  Testing command translateM1M3...  got 303 expected -302  Testing command turnAirOff...  got 303 expected -302  Testing command turnAirOn...  got 303 expected -302  Testing command turnLightsOff...  got 303 expected -302  Testing command turnLightsOn...  got 303 expected -302  Testing command turnPowerOff...  got 303 expected -302  Testing command turnPowerOn...  got 303 expected -302  Testing command updatePID...  got 303 expected -302  {code}   """
"DM-24776","2020/05/07 17:58:05","2.0","480.0","""Create a function that takes the dome command to be executed and its parameters""","""Create a function that takes the command and its parameters and returns a yaml representation of it so all do_XXX functions in DCS can be simplified."""
"DM-24790","2020/05/07 22:46:57","2.0","480.0","""Add documentation for DCS""","""Update index.rst with a description of DCS."""
